[cache] data_root = /root/data/FaceForensics++
[cache] variant = heuristic
[cache] image_size = 256
[cache] device = cpu
  [14450/50000] 18.90 img/s ETA 1881s
  [14475/50000] 18.91 img/s ETA 1879s
  [14500/50000] 18.91 img/s ETA 1877s
  [14525/50000] 18.92 img/s ETA 1875s
  [14550/50000] 18.91 img/s ETA 1874s
  [14575/50000] 18.91 img/s ETA 1873s
  [14600/50000] 18.92 img/s ETA 1871s
  [14625/50000] 18.91 img/s ETA 1871s
  [14650/50000] 18.90 img/s ETA 1870s
  [14675/50000] 18.91 img/s ETA 1868s
  [14700/50000] 18.90 img/s ETA 1868s
  [14725/50000] 18.91 img/s ETA 1866s
  [14750/50000] 18.91 img/s ETA 1864s
  [14775/50000] 18.91 img/s ETA 1863s
  [14800/50000] 18.91 img/s ETA 1861s
  [14825/50000] 18.90 img/s ETA 1861s
  [14850/50000] 18.90 img/s ETA 1860s
  [14875/50000] 18.89 img/s ETA 1859s
  [14900/50000] 18.88 img/s ETA 1859s
  [14925/50000] 18.89 img/s ETA 1857s
  [14950/50000] 18.90 img/s ETA 1855s
  [14975/50000] 18.88 img/s ETA 1855s
  [15000/50000] 18.89 img/s ETA 1853s
  [15025/50000] 18.89 img/s ETA 1851s
  [15050/50000] 18.89 img/s ETA 1850s
  [15075/50000] 18.90 img/s ETA 1848s
  [15100/50000] 18.88 img/s ETA 1848s
  [15125/50000] 18.89 img/s ETA 1847s
  [15150/50000] 18.90 img/s ETA 1844s
  [15175/50000] 18.90 img/s ETA 1842s
  [15200/50000] 18.90 img/s ETA 1842s
  [15225/50000] 18.89 img/s ETA 1841s
  [15250/50000] 18.90 img/s ETA 1838s
  [15275/50000] 18.91 img/s ETA 1837s
  [15300/50000] 18.91 img/s ETA 1835s
  [15325/50000] 18.91 img/s ETA 1834s
  [15350/50000] 18.91 img/s ETA 1832s
  [15375/50000] 18.90 img/s ETA 1832s
  [15400/50000] 18.89 img/s ETA 1832s
  [15425/50000] 18.89 img/s ETA 1831s
  [15450/50000] 18.89 img/s ETA 1829s
  [15475/50000] 18.88 img/s ETA 1829s
  [15500/50000] 18.89 img/s ETA 1827s
  [15525/50000] 18.89 img/s ETA 1825s
  [15550/50000] 18.90 img/s ETA 1823s
  [15575/50000] 18.90 img/s ETA 1821s
  [15600/50000] 18.91 img/s ETA 1820s
  [15625/50000] 18.90 img/s ETA 1818s
  [15650/50000] 18.91 img/s ETA 1817s
  [15675/50000] 18.90 img/s ETA 1816s
  [15700/50000] 18.90 img/s ETA 1815s
  [15725/50000] 18.90 img/s ETA 1814s
  [15750/50000] 18.90 img/s ETA 1812s
  [15775/50000] 18.89 img/s ETA 1812s
  [15800/50000] 18.89 img/s ETA 1810s
  [15825/50000] 18.90 img/s ETA 1809s
  [15850/50000] 18.88 img/s ETA 1808s
  [15875/50000] 18.88 img/s ETA 1808s
  [15900/50000] 18.87 img/s ETA 1807s
  [15925/50000] 18.86 img/s ETA 1807s
  [15950/50000] 18.86 img/s ETA 1806s
  [15975/50000] 18.86 img/s ETA 1804s
  [16000/50000] 18.86 img/s ETA 1803s
  [16025/50000] 18.87 img/s ETA 1801s
  [16050/50000] 18.86 img/s ETA 1800s
  [16075/50000] 18.87 img/s ETA 1798s
  [16100/50000] 18.87 img/s ETA 1797s
  [16125/50000] 18.86 img/s ETA 1796s
  [16150/50000] 18.85 img/s ETA 1796s
  [16175/50000] 18.85 img/s ETA 1794s
  [16200/50000] 18.86 img/s ETA 1792s
  [16225/50000] 18.85 img/s ETA 1791s
  [16250/50000] 18.84 img/s ETA 1791s
  [16275/50000] 18.85 img/s ETA 1789s
  [16300/50000] 18.83 img/s ETA 1790s
  [16325/50000] 18.83 img/s ETA 1788s
  [16350/50000] 18.83 img/s ETA 1787s
  [16375/50000] 18.84 img/s ETA 1785s
  [16400/50000] 18.83 img/s ETA 1784s
  [16425/50000] 18.84 img/s ETA 1782s
  [16450/50000] 18.83 img/s ETA 1782s
  [16475/50000] 18.83 img/s ETA 1780s
  [16500/50000] 18.83 img/s ETA 1779s
  [16525/50000] 18.83 img/s ETA 1778s
  [16550/50000] 18.82 img/s ETA 1778s
  [16575/50000] 18.82 img/s ETA 1776s
  [16600/50000] 18.83 img/s ETA 1774s
  [16625/50000] 18.82 img/s ETA 1773s
  [16650/50000] 18.80 img/s ETA 1774s
  [16675/50000] 18.80 img/s ETA 1772s
  [16700/50000] 18.81 img/s ETA 1771s
  [16725/50000] 18.81 img/s ETA 1769s
  [16750/50000] 18.81 img/s ETA 1768s
  [16775/50000] 18.82 img/s ETA 1766s
  [16800/50000] 18.82 img/s ETA 1764s
  [16825/50000] 18.80 img/s ETA 1765s
  [16850/50000] 18.80 img/s ETA 1763s
  [16875/50000] 18.80 img/s ETA 1762s
  [16900/50000] 18.80 img/s ETA 1760s
  [16925/50000] 18.81 img/s ETA 1759s
  [16950/50000] 18.80 img/s ETA 1758s
  [16975/50000] 18.81 img/s ETA 1756s
  [17000/50000] 18.80 img/s ETA 1755s
  [17025/50000] 18.81 img/s ETA 1753s
  [17050/50000] 18.81 img/s ETA 1752s
  [17075/50000] 18.80 img/s ETA 1751s
  [17100/50000] 18.79 img/s ETA 1751s
  [17125/50000] 18.78 img/s ETA 1751s
  [17150/50000] 18.78 img/s ETA 1750s
  [17175/50000] 18.78 img/s ETA 1748s
  [17200/50000] 18.78 img/s ETA 1746s
  [17225/50000] 18.78 img/s ETA 1745s
  [17250/50000] 18.77 img/s ETA 1744s
  [17275/50000] 18.78 img/s ETA 1743s
  [17300/50000] 18.78 img/s ETA 1741s
  [17325/50000] 18.79 img/s ETA 1739s
  [17350/50000] 18.77 img/s ETA 1739s
  [17375/50000] 18.77 img/s ETA 1739s
  [17400/50000] 18.77 img/s ETA 1737s
  [17425/50000] 18.77 img/s ETA 1735s
  [17450/50000] 18.77 img/s ETA 1734s
  [17475/50000] 18.75 img/s ETA 1735s
  [17500/50000] 18.74 img/s ETA 1734s
  [17525/50000] 18.72 img/s ETA 1735s
  [17550/50000] 18.71 img/s ETA 1734s
  [17575/50000] 18.72 img/s ETA 1732s
  [17600/50000] 18.72 img/s ETA 1731s
  [17625/50000] 18.72 img/s ETA 1729s
  [17650/50000] 18.72 img/s ETA 1728s
  [17675/50000] 18.72 img/s ETA 1727s
  [17700/50000] 18.71 img/s ETA 1727s
  [17725/50000] 18.71 img/s ETA 1725s
  [17750/50000] 18.71 img/s ETA 1724s
  [17775/50000] 18.72 img/s ETA 1722s
  [17800/50000] 18.72 img/s ETA 1720s
  [17825/50000] 18.73 img/s ETA 1718s
  [17850/50000] 18.72 img/s ETA 1717s
  [17875/50000] 18.72 img/s ETA 1716s
  [17900/50000] 18.71 img/s ETA 1716s
  [17925/50000] 18.70 img/s ETA 1715s
  [17950/50000] 18.71 img/s ETA 1713s
  [17975/50000] 18.70 img/s ETA 1712s
  [18000/50000] 18.70 img/s ETA 1712s
  [18025/50000] 18.70 img/s ETA 1710s
  [18050/50000] 18.70 img/s ETA 1708s
  [18075/50000] 18.70 img/s ETA 1707s
  [18100/50000] 18.71 img/s ETA 1705s
  [18125/50000] 18.71 img/s ETA 1704s
  [18150/50000] 18.71 img/s ETA 1702s
  [18175/50000] 18.71 img/s ETA 1701s
  [18200/50000] 18.70 img/s ETA 1701s
  [18225/50000] 18.70 img/s ETA 1699s
  [18250/50000] 18.70 img/s ETA 1698s
  [18275/50000] 18.69 img/s ETA 1697s
  [18300/50000] 18.69 img/s ETA 1696s
  [18325/50000] 18.68 img/s ETA 1695s
  [18350/50000] 18.69 img/s ETA 1694s
  [18375/50000] 18.67 img/s ETA 1694s
  [18400/50000] 18.67 img/s ETA 1692s
  [18425/50000] 18.68 img/s ETA 1691s
  [18450/50000] 18.67 img/s ETA 1690s
  [18475/50000] 18.68 img/s ETA 1688s
  [18500/50000] 18.68 img/s ETA 1687s
  [18525/50000] 18.68 img/s ETA 1685s
  [18550/50000] 18.67 img/s ETA 1684s
  [18575/50000] 18.67 img/s ETA 1683s
  [18600/50000] 18.66 img/s ETA 1682s
  [18625/50000] 18.65 img/s ETA 1682s
  [18650/50000] 18.65 img/s ETA 1681s
  [18675/50000] 18.64 img/s ETA 1680s
  [18700/50000] 18.64 img/s ETA 1679s
  [18725/50000] 18.65 img/s ETA 1677s
  [18750/50000] 18.65 img/s ETA 1675s
  [18775/50000] 18.66 img/s ETA 1674s
  [18800/50000] 18.66 img/s ETA 1672s
  [18825/50000] 18.66 img/s ETA 1671s
  [18850/50000] 18.66 img/s ETA 1669s
  [18875/50000] 18.66 img/s ETA 1668s
  [18900/50000] 18.66 img/s ETA 1667s
  [18925/50000] 18.66 img/s ETA 1665s
  [18950/50000] 18.66 img/s ETA 1664s
  [18975/50000] 18.67 img/s ETA 1662s
  [19000/50000] 18.67 img/s ETA 1660s
  [19025/50000] 18.67 img/s ETA 1659s
  [19050/50000] 18.67 img/s ETA 1658s
  [19075/50000] 18.67 img/s ETA 1656s
  [19100/50000] 18.67 img/s ETA 1655s
  [19125/50000] 18.67 img/s ETA 1653s
  [19150/50000] 18.68 img/s ETA 1652s
  [19175/50000] 18.68 img/s ETA 1650s
  [19200/50000] 18.69 img/s ETA 1648s
  [19225/50000] 18.69 img/s ETA 1646s
  [19250/50000] 18.69 img/s ETA 1645s
  [19275/50000] 18.69 img/s ETA 1644s
  [19300/50000] 18.69 img/s ETA 1643s
  [19325/50000] 18.69 img/s ETA 1641s
  [19350/50000] 18.69 img/s ETA 1640s
  [19375/50000] 18.69 img/s ETA 1638s
  [19400/50000] 18.69 img/s ETA 1637s
  [19425/50000] 18.70 img/s ETA 1635s
  [19450/50000] 18.68 img/s ETA 1635s
  [19475/50000] 18.68 img/s ETA 1634s
  [19500/50000] 18.67 img/s ETA 1633s
  [19525/50000] 18.66 img/s ETA 1633s
  [19550/50000] 18.66 img/s ETA 1632s
  [19575/50000] 18.65 img/s ETA 1631s
  [19600/50000] 18.64 img/s ETA 1630s
  [19625/50000] 18.65 img/s ETA 1629s
  [19650/50000] 18.65 img/s ETA 1628s
  [19675/50000] 18.65 img/s ETA 1626s
  [19700/50000] 18.65 img/s ETA 1625s
  [19725/50000] 18.65 img/s ETA 1623s
  [19750/50000] 18.66 img/s ETA 1621s
  [19775/50000] 18.66 img/s ETA 1620s
  [19800/50000] 18.66 img/s ETA 1618s
  [19825/50000] 18.67 img/s ETA 1617s
  [19850/50000] 18.67 img/s ETA 1615s
  [19875/50000] 18.67 img/s ETA 1614s
  [19900/50000] 18.68 img/s ETA 1612s
  [19925/50000] 18.68 img/s ETA 1610s
  [19950/50000] 18.68 img/s ETA 1609s
  [19975/50000] 18.68 img/s ETA 1608s
  [20000/50000] 18.68 img/s ETA 1606s
  [20025/50000] 18.68 img/s ETA 1605s
  [20050/50000] 18.68 img/s ETA 1603s
  [20075/50000] 18.68 img/s ETA 1602s
  [20100/50000] 18.68 img/s ETA 1601s
  [20125/50000] 18.69 img/s ETA 1599s
  [20150/50000] 18.69 img/s ETA 1597s
  [20175/50000] 18.70 img/s ETA 1595s
  [20200/50000] 18.71 img/s ETA 1593s
  [20225/50000] 18.70 img/s ETA 1592s
  [20250/50000] 18.70 img/s ETA 1591s
  [20275/50000] 18.71 img/s ETA 1589s
  [20300/50000] 18.71 img/s ETA 1588s
  [20325/50000] 18.68 img/s ETA 1589s
  [20350/50000] 18.66 img/s ETA 1589s
  [20375/50000] 18.66 img/s ETA 1587s
  [20400/50000] 18.67 img/s ETA 1586s
  [20425/50000] 18.67 img/s ETA 1584s
  [20450/50000] 18.68 img/s ETA 1582s
  [20475/50000] 18.68 img/s ETA 1580s
  [20500/50000] 18.68 img/s ETA 1579s
  [20525/50000] 18.68 img/s ETA 1578s
  [20550/50000] 18.68 img/s ETA 1577s
  [20575/50000] 18.68 img/s ETA 1576s
  [20600/50000] 18.68 img/s ETA 1574s
  [20625/50000] 18.69 img/s ETA 1572s
  [20650/50000] 18.69 img/s ETA 1570s
  [20675/50000] 18.70 img/s ETA 1568s
  [20700/50000] 18.70 img/s ETA 1567s
  [20725/50000] 18.71 img/s ETA 1565s
  [20750/50000] 18.70 img/s ETA 1564s
  [20775/50000] 18.70 img/s ETA 1563s
  [20800/50000] 18.69 img/s ETA 1562s
  [20825/50000] 18.69 img/s ETA 1561s
  [20850/50000] 18.68 img/s ETA 1561s
  [20875/50000] 18.68 img/s ETA 1559s
  [20900/50000] 18.69 img/s ETA 1557s
  [20925/50000] 18.69 img/s ETA 1556s
  [20950/50000] 18.69 img/s ETA 1554s
  [20975/50000] 18.70 img/s ETA 1552s
  [21000/50000] 18.71 img/s ETA 1550s
  [21025/50000] 18.71 img/s ETA 1549s
  [21050/50000] 18.71 img/s ETA 1548s
  [21075/50000] 18.71 img/s ETA 1546s
  [21100/50000] 18.71 img/s ETA 1544s
  [21125/50000] 18.72 img/s ETA 1543s
  [21150/50000] 18.72 img/s ETA 1541s
  [21175/50000] 18.72 img/s ETA 1539s
  [21200/50000] 18.72 img/s ETA 1538s
  [21225/50000] 18.71 img/s ETA 1538s
  [21250/50000] 18.72 img/s ETA 1536s
  [21275/50000] 18.72 img/s ETA 1535s
  [21300/50000] 18.72 img/s ETA 1533s
  [21325/50000] 18.72 img/s ETA 1532s
  [21350/50000] 18.72 img/s ETA 1530s
  [21375/50000] 18.72 img/s ETA 1529s
  [21400/50000] 18.72 img/s ETA 1527s
  [21425/50000] 18.72 img/s ETA 1527s
  [21450/50000] 18.72 img/s ETA 1525s
  [21475/50000] 18.73 img/s ETA 1523s
  [21500/50000] 18.73 img/s ETA 1521s
  [21525/50000] 18.74 img/s ETA 1520s
  [21550/50000] 18.74 img/s ETA 1518s
  [21575/50000] 18.74 img/s ETA 1517s
  [21600/50000] 18.75 img/s ETA 1515s
  [21625/50000] 18.74 img/s ETA 1514s
  [21650/50000] 18.74 img/s ETA 1513s
  [21675/50000] 18.74 img/s ETA 1511s
  [21700/50000] 18.74 img/s ETA 1510s
  [21725/50000] 18.74 img/s ETA 1508s
  [21750/50000] 18.75 img/s ETA 1507s
  [21775/50000] 18.75 img/s ETA 1506s
  [21800/50000] 18.75 img/s ETA 1504s
  [21825/50000] 18.76 img/s ETA 1502s
  [21850/50000] 18.75 img/s ETA 1501s
  [21875/50000] 18.75 img/s ETA 1500s
  [21900/50000] 18.76 img/s ETA 1498s
  [21925/50000] 18.76 img/s ETA 1497s
  [21950/50000] 18.76 img/s ETA 1495s
  [21975/50000] 18.76 img/s ETA 1494s
  [22000/50000] 18.77 img/s ETA 1492s
  [22025/50000] 18.77 img/s ETA 1490s
  [22050/50000] 18.77 img/s ETA 1489s
  [22075/50000] 18.76 img/s ETA 1489s
  [22100/50000] 18.76 img/s ETA 1487s
  [22125/50000] 18.77 img/s ETA 1485s
  [22150/50000] 18.77 img/s ETA 1484s
  [22175/50000] 18.77 img/s ETA 1482s
  [22200/50000] 18.78 img/s ETA 1480s
  [22225/50000] 18.78 img/s ETA 1479s
  [22250/50000] 18.78 img/s ETA 1477s
  [22275/50000] 18.78 img/s ETA 1477s
  [22300/50000] 18.78 img/s ETA 1475s
  [22325/50000] 18.78 img/s ETA 1474s
  [22350/50000] 18.78 img/s ETA 1472s
  [22375/50000] 18.79 img/s ETA 1470s
  [22400/50000] 18.79 img/s ETA 1469s
  [22425/50000] 18.80 img/s ETA 1467s
  [22450/50000] 18.80 img/s ETA 1465s
  [22475/50000] 18.80 img/s ETA 1464s
  [22500/50000] 18.81 img/s ETA 1462s
  [22525/50000] 18.79 img/s ETA 1462s
  [22550/50000] 18.80 img/s ETA 1460s
  [22575/50000] 18.80 img/s ETA 1459s
  [22600/50000] 18.81 img/s ETA 1457s
  [22625/50000] 18.80 img/s ETA 1456s
  [22650/50000] 18.80 img/s ETA 1455s
  [22675/50000] 18.81 img/s ETA 1453s
  [22700/50000] 18.81 img/s ETA 1451s
  [22725/50000] 18.81 img/s ETA 1450s
  [22750/50000] 18.80 img/s ETA 1449s
  [22775/50000] 18.80 img/s ETA 1448s
  [22800/50000] 18.80 img/s ETA 1447s
  [22825/50000] 18.81 img/s ETA 1445s
  [22850/50000] 18.81 img/s ETA 1443s
  [22875/50000] 18.81 img/s ETA 1442s
  [22900/50000] 18.82 img/s ETA 1440s
  [22925/50000] 18.81 img/s ETA 1440s
  [22950/50000] 18.80 img/s ETA 1439s
  [22975/50000] 18.80 img/s ETA 1437s
  [23000/50000] 18.81 img/s ETA 1436s
  [23025/50000] 18.81 img/s ETA 1434s
  [23050/50000] 18.82 img/s ETA 1432s
  [23075/50000] 18.82 img/s ETA 1430s
  [23100/50000] 18.81 img/s ETA 1430s
  [23125/50000] 18.82 img/s ETA 1428s
  [23150/50000] 18.82 img/s ETA 1426s
  [23175/50000] 18.82 img/s ETA 1426s
  [23200/50000] 18.82 img/s ETA 1424s
  [23225/50000] 18.81 img/s ETA 1423s
  [23250/50000] 18.80 img/s ETA 1423s
  [23275/50000] 18.81 img/s ETA 1421s
  [23300/50000] 18.80 img/s ETA 1420s
  [23325/50000] 18.81 img/s ETA 1418s
  [23350/50000] 18.81 img/s ETA 1417s
  [23375/50000] 18.81 img/s ETA 1416s
  [23400/50000] 18.80 img/s ETA 1415s
  [23425/50000] 18.80 img/s ETA 1414s
  [23450/50000] 18.80 img/s ETA 1413s
  [23475/50000] 18.80 img/s ETA 1411s
  [23500/50000] 18.81 img/s ETA 1409s
  [23525/50000] 18.81 img/s ETA 1408s
  [23550/50000] 18.81 img/s ETA 1406s
  [23575/50000] 18.82 img/s ETA 1404s
  [23600/50000] 18.82 img/s ETA 1403s
  [23625/50000] 18.82 img/s ETA 1401s
  [23650/50000] 18.83 img/s ETA 1400s
  [23675/50000] 18.83 img/s ETA 1398s
  [23700/50000] 18.83 img/s ETA 1397s
  [23725/50000] 18.83 img/s ETA 1395s
  [23750/50000] 18.84 img/s ETA 1393s
  [23775/50000] 18.84 img/s ETA 1392s
  [23800/50000] 18.84 img/s ETA 1391s
  [23825/50000] 18.84 img/s ETA 1389s
  [23850/50000] 18.84 img/s ETA 1388s
  [23875/50000] 18.85 img/s ETA 1386s
  [23900/50000] 18.84 img/s ETA 1385s
  [23925/50000] 18.84 img/s ETA 1384s
  [23950/50000] 18.85 img/s ETA 1382s
  [23975/50000] 18.83 img/s ETA 1382s
  [24000/50000] 18.83 img/s ETA 1381s
  [24025/50000] 18.83 img/s ETA 1380s
  [24050/50000] 18.83 img/s ETA 1378s
  [24075/50000] 18.84 img/s ETA 1376s
  [24100/50000] 18.84 img/s ETA 1375s
  [24125/50000] 18.84 img/s ETA 1374s
  [24150/50000] 18.84 img/s ETA 1372s
  [24175/50000] 18.84 img/s ETA 1371s
  [24200/50000] 18.84 img/s ETA 1370s
  [24225/50000] 18.84 img/s ETA 1368s
  [24250/50000] 18.84 img/s ETA 1367s
  [24275/50000] 18.84 img/s ETA 1365s
  [24300/50000] 18.83 img/s ETA 1365s
  [24325/50000] 18.84 img/s ETA 1363s
  [24350/50000] 18.84 img/s ETA 1362s
  [24375/50000] 18.84 img/s ETA 1360s
  [24400/50000] 18.84 img/s ETA 1359s
  [24425/50000] 18.85 img/s ETA 1357s
  [24450/50000] 18.85 img/s ETA 1355s
  [24475/50000] 18.86 img/s ETA 1354s
  [24500/50000] 18.86 img/s ETA 1352s
  [24525/50000] 18.87 img/s ETA 1350s
  [24550/50000] 18.86 img/s ETA 1349s
  [24575/50000] 18.86 img/s ETA 1348s
  [24600/50000] 18.86 img/s ETA 1347s
  [24625/50000] 18.86 img/s ETA 1345s
  [24650/50000] 18.86 img/s ETA 1344s
  [24675/50000] 18.87 img/s ETA 1342s
  [24700/50000] 18.86 img/s ETA 1341s
  [24725/50000] 18.87 img/s ETA 1340s
  [24750/50000] 18.87 img/s ETA 1338s
  [24775/50000] 18.87 img/s ETA 1337s
  [24800/50000] 18.87 img/s ETA 1335s
  [24825/50000] 18.87 img/s ETA 1334s
  [24850/50000] 18.86 img/s ETA 1333s
  [24875/50000] 18.86 img/s ETA 1332s
  [24900/50000] 18.86 img/s ETA 1331s
  [24925/50000] 18.86 img/s ETA 1329s
  [24950/50000] 18.87 img/s ETA 1328s
  [24975/50000] 18.86 img/s ETA 1327s
  [25000/50000] 18.86 img/s ETA 1326s
  [25025/50000] 18.86 img/s ETA 1324s
  [25050/50000] 18.86 img/s ETA 1323s
  [25075/50000] 18.87 img/s ETA 1321s
  [25100/50000] 18.86 img/s ETA 1320s
  [25125/50000] 18.86 img/s ETA 1319s
  [25150/50000] 18.87 img/s ETA 1317s
  [25175/50000] 18.87 img/s ETA 1316s
  [25200/50000] 18.87 img/s ETA 1314s
  [25225/50000] 18.87 img/s ETA 1313s
  [25250/50000] 18.88 img/s ETA 1311s
  [25275/50000] 18.88 img/s ETA 1309s
  [25300/50000] 18.88 img/s ETA 1308s
  [25325/50000] 18.89 img/s ETA 1307s
  [25350/50000] 18.89 img/s ETA 1305s
  [25375/50000] 18.88 img/s ETA 1304s
  [25400/50000] 18.88 img/s ETA 1303s
  [25425/50000] 18.88 img/s ETA 1302s
  [25450/50000] 18.88 img/s ETA 1300s
  [25475/50000] 18.88 img/s ETA 1299s
  [25500/50000] 18.88 img/s ETA 1297s
  [25525/50000] 18.89 img/s ETA 1296s
  [25550/50000] 18.89 img/s ETA 1294s
  [25575/50000] 18.89 img/s ETA 1293s
  [25600/50000] 18.90 img/s ETA 1291s
  [25625/50000] 18.90 img/s ETA 1290s
  [25650/50000] 18.90 img/s ETA 1289s
  [25675/50000] 18.90 img/s ETA 1287s
  [25700/50000] 18.89 img/s ETA 1286s
  [25725/50000] 18.89 img/s ETA 1285s
  [25750/50000] 18.89 img/s ETA 1283s
  [25775/50000] 18.89 img/s ETA 1282s
  [25800/50000] 18.89 img/s ETA 1281s
  [25825/50000] 18.90 img/s ETA 1279s
  [25850/50000] 18.89 img/s ETA 1279s
  [25875/50000] 18.89 img/s ETA 1277s
  [25900/50000] 18.89 img/s ETA 1276s
  [25925/50000] 18.88 img/s ETA 1275s
  [25950/50000] 18.88 img/s ETA 1274s
  [25975/50000] 18.88 img/s ETA 1273s
  [26000/50000] 18.88 img/s ETA 1271s
  [26025/50000] 18.89 img/s ETA 1269s
  [26050/50000] 18.88 img/s ETA 1268s
  [26075/50000] 18.89 img/s ETA 1267s
  [26100/50000] 18.89 img/s ETA 1265s
  [26125/50000] 18.89 img/s ETA 1264s
  [26150/50000] 18.89 img/s ETA 1263s
  [26175/50000] 18.89 img/s ETA 1261s
  [26200/50000] 18.89 img/s ETA 1260s
  [26225/50000] 18.90 img/s ETA 1258s
  [26250/50000] 18.89 img/s ETA 1257s
  [26275/50000] 18.90 img/s ETA 1256s
  [26300/50000] 18.89 img/s ETA 1255s
  [26325/50000] 18.89 img/s ETA 1254s
  [26350/50000] 18.89 img/s ETA 1252s
  [26375/50000] 18.89 img/s ETA 1251s
  [26400/50000] 18.89 img/s ETA 1249s
  [26425/50000] 18.89 img/s ETA 1248s
  [26450/50000] 18.89 img/s ETA 1247s
  [26475/50000] 18.89 img/s ETA 1245s
  [26500/50000] 18.90 img/s ETA 1244s
  [26525/50000] 18.89 img/s ETA 1243s
  [26550/50000] 18.89 img/s ETA 1242s
  [26575/50000] 18.89 img/s ETA 1240s
  [26600/50000] 18.90 img/s ETA 1238s
  [26625/50000] 18.89 img/s ETA 1238s
  [26650/50000] 18.88 img/s ETA 1237s
  [26675/50000] 18.88 img/s ETA 1235s
  [26700/50000] 18.88 img/s ETA 1234s
  [26725/50000] 18.88 img/s ETA 1233s
  [26750/50000] 18.89 img/s ETA 1231s
  [26775/50000] 18.89 img/s ETA 1229s
  [26800/50000] 18.89 img/s ETA 1228s
  [26825/50000] 18.89 img/s ETA 1227s
  [26850/50000] 18.89 img/s ETA 1225s
  [26875/50000] 18.89 img/s ETA 1224s
  [26900/50000] 18.90 img/s ETA 1223s
  [26925/50000] 18.90 img/s ETA 1221s
  [26950/50000] 18.89 img/s ETA 1220s
  [26975/50000] 18.90 img/s ETA 1218s
  [27000/50000] 18.90 img/s ETA 1217s
  [27025/50000] 18.90 img/s ETA 1216s
  [27050/50000] 18.90 img/s ETA 1214s
  [27075/50000] 18.90 img/s ETA 1213s
  [27100/50000] 18.88 img/s ETA 1213s
  [27125/50000] 18.88 img/s ETA 1212s
  [27150/50000] 18.88 img/s ETA 1210s
  [27175/50000] 18.88 img/s ETA 1209s
  [27200/50000] 18.89 img/s ETA 1207s
  [27225/50000] 18.89 img/s ETA 1206s
  [27250/50000] 18.88 img/s ETA 1205s
  [27275/50000] 18.88 img/s ETA 1203s
  [27300/50000] 18.89 img/s ETA 1202s
  [27325/50000] 18.89 img/s ETA 1200s
  [27350/50000] 18.88 img/s ETA 1199s
  [27375/50000] 18.88 img/s ETA 1198s
  [27400/50000] 18.88 img/s ETA 1197s
  [27425/50000] 18.88 img/s ETA 1195s
  [27450/50000] 18.88 img/s ETA 1194s
  [27475/50000] 18.87 img/s ETA 1194s
  [27500/50000] 18.87 img/s ETA 1193s
  [27525/50000] 18.85 img/s ETA 1192s
  [27550/50000] 18.85 img/s ETA 1191s
  [27575/50000] 18.85 img/s ETA 1189s
  [27600/50000] 18.85 img/s ETA 1188s
  [27625/50000] 18.86 img/s ETA 1187s
  [27650/50000] 18.86 img/s ETA 1185s
  [27675/50000] 18.86 img/s ETA 1184s
  [27700/50000] 18.85 img/s ETA 1183s
  [27725/50000] 18.85 img/s ETA 1181s
  [27750/50000] 18.85 img/s ETA 1180s
  [27775/50000] 18.86 img/s ETA 1179s
  [27800/50000] 18.86 img/s ETA 1177s
  [27825/50000] 18.86 img/s ETA 1175s
  [27850/50000] 18.86 img/s ETA 1174s
  [27875/50000] 18.86 img/s ETA 1173s
  [27900/50000] 18.86 img/s ETA 1172s
  [27925/50000] 18.86 img/s ETA 1170s
  [27950/50000] 18.87 img/s ETA 1169s
  [27975/50000] 18.87 img/s ETA 1167s
  [28000/50000] 18.87 img/s ETA 1166s
  [28025/50000] 18.87 img/s ETA 1165s
  [28050/50000] 18.87 img/s ETA 1163s
  [28075/50000] 18.87 img/s ETA 1162s
  [28100/50000] 18.87 img/s ETA 1160s
  [28125/50000] 18.88 img/s ETA 1159s
  [28150/50000] 18.88 img/s ETA 1157s
  [28175/50000] 18.88 img/s ETA 1156s
  [28200/50000] 18.88 img/s ETA 1155s
  [28225/50000] 18.88 img/s ETA 1153s
  [28250/50000] 18.88 img/s ETA 1152s
  [28275/50000] 18.87 img/s ETA 1151s
  [28300/50000] 18.87 img/s ETA 1150s
  [28325/50000] 18.87 img/s ETA 1149s
  [28350/50000] 18.87 img/s ETA 1147s
  [28375/50000] 18.86 img/s ETA 1146s
  [28400/50000] 18.86 img/s ETA 1145s
  [28425/50000] 18.87 img/s ETA 1144s
  [28450/50000] 18.86 img/s ETA 1143s
  [28475/50000] 18.86 img/s ETA 1141s
  [28500/50000] 18.86 img/s ETA 1140s
  [28525/50000] 18.87 img/s ETA 1138s
  [28550/50000] 18.86 img/s ETA 1137s
  [28575/50000] 18.86 img/s ETA 1136s
  [28600/50000] 18.85 img/s ETA 1135s
  [28625/50000] 18.85 img/s ETA 1134s
  [28650/50000] 18.85 img/s ETA 1133s
  [28675/50000] 18.85 img/s ETA 1132s
  [28700/50000] 18.85 img/s ETA 1130s
  [28725/50000] 18.85 img/s ETA 1129s
  [28750/50000] 18.85 img/s ETA 1127s
  [28775/50000] 18.86 img/s ETA 1126s
  [28800/50000] 18.86 img/s ETA 1124s
  [28825/50000] 18.86 img/s ETA 1123s
  [28850/50000] 18.86 img/s ETA 1121s
  [28875/50000] 18.86 img/s ETA 1120s
  [28900/50000] 18.86 img/s ETA 1119s
  [28925/50000] 18.86 img/s ETA 1117s
  [28950/50000] 18.86 img/s ETA 1116s
